Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2024-03-09 10:12:09,false,"Amsterdam Road Cycling","59.45","1,313","02:30:14","133","185","3.4","--","--","23.7","42.0","368","362","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","8.0","0:00","No","00:02.94","10","22.0","02:22:09","03:06:58","-8","17"
Pool Swimming,2024-03-07 20:20:41,false,"Pool Swimming","1,500","286","00:28:16","124","151","2.0","--","--","1:53","1:12","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","834","42","29","0","0:00","0.0","0:00","No","00:38.52","3","0.0","00:28:16","00:30:10","--","--"
Running,2024-03-06 19:32:51,false,"5K test March - on tracks ","5.00","304","00:18:23","165","179","3.8","182","207","3:41","3:06","2","4","1.48","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","12.0","0:00","No","18:22.92","1","15.0","00:18:23","00:18:23","-1","2"
Pool Swimming,2024-03-04 19:15:20,false,"Pool Swimming","2,300","451","00:41:39","140","157","2.9","--","--","1:49","0:51","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1222","40","29","0","0:00","0.0","0:00","No","12:12.72","3","0.0","00:41:39","00:46:42","--","--"
Running,2024-03-03 20:02:55,false,"Amsterdam Running","5.78","346","00:22:59","156","170","3.5","184","195","3:59","3:06","13","13","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","13.0","0:00","No","22:59.14","1","19.0","00:22:49","00:24:14","3","9"
Running,2024-03-02 17:35:47,false,"Amsterdam Running","8.05","504","00:34:39","160","171","3.8","179","188","4:18","3:36","17","18","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","16.0","0:00","No","34:39.24","1","21.0","00:34:38","00:37:04","-1","5"
Running,2024-02-27 19:37:23,false,"Amsterdam Running","6.10","372","00:23:34","166","178","3.8","191","207","3:52","3:11","12","10","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","10.0","0:00","No","23:33.81","1","20.0","00:23:34","00:23:43","3","10"
Running,2024-02-26 08:04:52,false,"Amsterdam Running","6.21","392","00:27:19","153","168","3.5","171","200","4:24","3:56","20","20","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","11.0","0:00","No","27:19.18","1","23.0","00:27:19","00:27:55","3","10"
Pool Swimming,2024-02-22 19:49:43,false,"Pool Swimming","2,100","425","00:36:53","128","154","2.2","--","--","1:45","1:18","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1077","39","29","0","0:00","0.0","0:00","No","00:42.95","11","0.0","00:36:53","00:51:39","--","--"
Pool Swimming,2024-02-19 12:24:25,false,"Pool Swimming","1,575","309","00:28:39","120","143","1.4","--","--","1:49","0:49","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","846","41","30","0","0:00","0.0","0:00","No","00:44.67","5","0.0","00:28:39","00:31:18","--","--"
Running,2024-02-18 19:59:36,false,"Amsterdam Running","7.02","433","00:30:44","158","174","3.4","178","188","4:23","3:41","15","17","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","11.0","0:00","No","30:44.49","1","17.0","00:30:39","00:31:29","-2","7"
Road Cycling,2024-02-17 15:56:20,false,"Amsterdam Road Cycling","53.53","1,054","02:13:12","129","158","3.0","--","--","24.1","41.4","304","296","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","14.0","0:00","No","13:53.53","7","23.0","02:12:41","02:40:04","-7","43"
Pool Swimming,2024-02-15 20:10:02,false,"Pool Swimming","1,350","260","00:24:59","118","140","1.2","--","--","1:51","0:48","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","724","41","29","0","0:00","0.0","0:00","No","02:38.64","3","0.0","00:24:59","00:28:52","--","--"
Running,2024-02-14 19:17:05,false,"Amsterdam Running","5.52","349","00:22:33","174","185","3.8","174","210","4:05","2:44","18","11","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","14.0","0:00","No","22:33.05","1","18.0","00:22:33","00:31:22","-2","2"
Running,2024-02-12 12:23:05,false,"5K Run test February","5.02","306","00:19:32","148","160","3.4","177","190","3:54","3:34","5","7","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","13.0","0:00","No","19:32.15","1","18.0","00:19:32","00:19:32","1","7"
Road Cycling,2024-02-11 11:31:11,false,"Amsterdam Road Cycling","57.47","1,054","02:14:34","125","154","2.9","--","--","25.6","37.7","259","259","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","13.0","0:00","No","02:30.28","8","23.0","02:13:52","02:52:34","-7","10"
Running,2024-02-07 19:20:12,false,"Amsterdam Running","8.01","513","00:32:51","179","192","4.2","172","186","4:06","3:36","2","4","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","9.0","0:00","No","32:50.67","1","15.0","00:32:50","00:32:51","-1","3"
Running,2024-02-05 12:28:50,false,"Amsterdam Running","7.54","473","00:32:28","149","161","3.7","174","188","4:18","3:51","38","38","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","14.0","0:00","No","32:28.29","1","20.0","00:32:28","00:32:28","--","8"
Pool Swimming,2024-02-02 07:33:43,false,"Pool Swimming","1,350","259","00:26:23","135","155","2.3","--","--","1:57","0:26","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","794","88","30","0","0:00","0.0","0:00","No","10:11.45","2","0.0","00:26:23","00:28:09","--","--"
Pool Swimming,2024-02-01 07:39:05,false,"Pool Swimming","1,150","208","00:21:07","145","159","2.7","--","--","1:50","0:28","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","677","85","32","0","0:00","0.0","0:00","No","21:07.29","1","0.0","00:21:07","00:22:46","--","--"
